Iteration : 11550 | Loss : 0.231714 | Accuracy : 93.313333
Iteration : 11600 | Loss : 0.231306 | Accuracy : 93.316667
Iteration : 11650 | Loss : 0.230901 | Accuracy : 93.330000
Iteration : 11700 | Loss : 0.230498 | Accuracy : 93.340000
Iteration : 11750 | Loss : 0.230097 | Accuracy : 93.358333
Iteration : 11800 | Loss : 0.229698 | Accuracy : 93.368333
Iteration : 11850 | Loss : 0.229301 | Accuracy : 93.385000
Iteration : 11900 | Loss : 0.228906 | Accuracy : 93.388333
Iteration : 11950 | Loss : 0.228513 | Accuracy : 93.395000
Iteration : 12000 | Loss : 0.228122 | Accuracy : 93.401667
Iteration : 12050 | Loss : 0.227734 | Accuracy : 93.415000
Iteration : 12100 | Loss : 0.227347 | Accuracy : 93.423333
Iteration : 12150 | Loss : 0.226963 | Accuracy : 93.431667
Iteration : 12200 | Loss : 0.226581 | Accuracy : 93.451667
Iteration : 12250 | Loss : 0.226200 | Accuracy : 93.463333
Iteration : 12300 | Loss : 0.225821 | Accuracy : 93.470000
Iteration : 12350 | Loss : 0.225444 | Accuracy : 93.485000
Iteration : 12400 | Loss : 0.225069 | Accuracy : 93.500000
Iteration : 12450 | Loss : 0.224695 | Accuracy : 93.508333
Iteration : 12500 | Loss : 0.224324 | Accuracy : 93.513333
Iteration : 12550 | Loss : 0.223954 | Accuracy : 93.523333
Iteration : 12600 | Loss : 0.223586 | Accuracy : 93.538333
Iteration : 12650 | Loss : 0.223220 | Accuracy : 93.548333
Iteration : 12700 | Loss : 0.222856 | Accuracy : 93.553333
Iteration : 12750 | Loss : 0.222493 | Accuracy : 93.571667
Iteration : 12800 | Loss : 0.222132 | Accuracy : 93.586667
Iteration : 12850 | Loss : 0.221773 | Accuracy : 93.595000
Iteration : 12900 | Loss : 0.221415 | Accuracy : 93.613333
Iteration : 12950 | Loss : 0.221059 | Accuracy : 93.623333
Iteration : 13000 | Loss : 0.220705 | Accuracy : 93.630000
Iteration : 13050 | Loss : 0.220352 | Accuracy : 93.640000
Iteration : 13100 | Loss : 0.220001 | Accuracy : 93.650000
Iteration : 13150 | Loss : 0.219651 | Accuracy : 93.675000
Iteration : 13200 | Loss : 0.219302 | Accuracy : 93.688333
Iteration : 13250 | Loss : 0.218955 | Accuracy : 93.701667
Iteration : 13300 | Loss : 0.218610 | Accuracy : 93.718333
Iteration : 13350 | Loss : 0.218265 | Accuracy : 93.728333
Iteration : 13400 | Loss : 0.217923 | Accuracy : 93.743333
Iteration : 13450 | Loss : 0.217581 | Accuracy : 93.755000
Iteration : 13500 | Loss : 0.217241 | Accuracy : 93.763333
Iteration : 13550 | Loss : 0.216903 | Accuracy : 93.765000
Iteration : 13600 | Loss : 0.216567 | Accuracy : 93.770000
Iteration : 13650 | Loss : 0.216232 | Accuracy : 93.780000
Iteration : 13700 | Loss : 0.215899 | Accuracy : 93.796667
Iteration : 13750 | Loss : 0.215567 | Accuracy : 93.805000
Iteration : 13800 | Loss : 0.215237 | Accuracy : 93.811667
Iteration : 13850 | Loss : 0.214908 | Accuracy : 93.821667
Iteration : 13900 | Loss : 0.214581 | Accuracy : 93.828333
Iteration : 13950 | Loss : 0.214255 | Accuracy : 93.836667
Iteration : 14000 | Loss : 0.213931 | Accuracy : 93.850000
Iteration : 14050 | Loss : 0.213607 | Accuracy : 93.861667
Iteration : 14100 | Loss : 0.213285 | Accuracy : 93.873333
Iteration : 14150 | Loss : 0.212964 | Accuracy : 93.883333
Iteration : 14200 | Loss : 0.212645 | Accuracy : 93.898333
Iteration : 14250 | Loss : 0.212327 | Accuracy : 93.911667
Iteration : 14300 | Loss : 0.212010 | Accuracy : 93.926667
Iteration : 14350 | Loss : 0.211694 | Accuracy : 93.930000
Iteration : 14400 | Loss : 0.211380 | Accuracy : 93.936667
Iteration : 14450 | Loss : 0.211067 | Accuracy : 93.946667
Iteration : 14500 | Loss : 0.210755 | Accuracy : 93.958333
Iteration : 14550 | Loss : 0.210444 | Accuracy : 93.966667
